Cantoma feat. Bing Ji Ling	Just Landed	no_match	
Cantoma feat. Brenda Ray	Just Landed	no_match	
Cantoma feat. Danny Rampling	Just Landed	no_match	
Cantoma feat. Javier Bergia	Just Landed	no_match	
Cantoma feat. Suad Khalifa	Just Landed	no_match	
Caoilfhionn Rose	Balearic Breakfast Vol:1	no_match	
Captain Mustache	Quattro III - Redux	no_match	
Captain Mustache ft. Davina	Quattro III - Redux	no_match	
Carl Henderson	Eccentric Northern Soul	no_match	
Carl Henderson	Eccentric Soul: The Renfro Label	no_match	
Carla Thomas	Stax Christmas	no_match	
Carlos Garnett	Soul Jazz Records Presents Soul Of A Nation: Afro-Centric Visions in the Age of Black Power - Underground Jazz, Street Funk & The Roots of Rap 1968-79	no_match	
Carlos Perón	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Carol Rich	Intenta: Experimental & Electronic Music from Switzerland 1981-93	no_match	
Cass McCombs feat. Karen Black	Big Wheel and Others	no_match	
Cassandra Jenkins	Musicians for a Free Palestine	no_match	
Cassandra Jenkins, Bloomsday, & Babehoven	TRANSA	no_match	
Cassandra Wilson	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Cazo	Musicians for a Free Palestine	no_match	
Cecil Taylor	Blue Note 75 (75th Anniversary MQS Collection)	no_match	
Cecil Wary	Scoop	no_match	
Chandlers	Eccentric Soul: Capitol City Soul	no_match	
Charles Manier	Soul Jazz Records Presents Two Synths A Guitar (And) A Drum Machine - Post Punk Dance Vol.1	no_match	
Charles Mingus	Mingus Ah Um (2019 MFSL Hybrid SACD)	no_match	
Charles Mingus	The Black Saint And The Sinner Lady (2011 AP Hybrid SACD)	no_match	
Charli XCX	Hot Girl (Bodies Bodies Bodies)	no_match	
Charli XCX feat. Alma & Tove Lo	Pop 2	no_match	
Charli XCX feat. Brooke Candy, CupcakKe & Pabllo Vittar	Pop 2	no_match	
Charli XCX feat. Carly Rae Jepsen	Pop 2	no_match	
Charli XCX feat. Caroline Polachek	Pop 2	no_match	
Charli XCX feat. Jay Park & Kim Petras	Pop 2	no_match	
Charli XCX feat. Mykki Blanco & Dorian Electra	Pop 2	no_match	
