genre,album_count,top_neighbors
dubstep,4,wonky:0.17; glitch pop:0.17; house:0.09; jazz funk:0.09; synth funk:0.07
ethereal wave,4,ethereal:0.06; shoegaze:0.05; dream pop:0.04; electro:0.02; drone:0.02
gospel,4,country pop:0.20; country rock:0.13; vocal:0.11; country:0.11; ballad:0.09
heavy psych,4,garage psych:0.44; acid rock:0.25; garage punk:0.25; krautrock:0.17; experimental electronic:0.12
hip-hop,0,
metal,4,alternative metal:0.17; heavy metal:0.12; sludge metal:0.11; progressive metal:0.10; alternative and punk:0.06
mpb,4,samba:0.50; latin:0.29; bossa nova:0.10; psychedelic:0.03; soul:0.02
neo-classical,0,
neofolk,4,smooth jazz:0.12; deep house:0.05; experimental rock:0.04; drone:0.02; post rock:0.02
plunderphonics,4,vaporwave:0.17; future funk:0.17; deconstructed club:0.11; nu disco:0.10; progressive electronic:0.08
post-industrial,0,
progressive folk,4,americana:0.13; christmas music:0.11; psychedelic folk:0.11; chamber folk:0.08; folk rock:0.04
quiet storm,4,boogie:0.12; smooth jazz:0.12; smooth soul:0.12; dub:0.11; disco:0.10
rnb/swing,0,
sound collage,4,progressive electronic:0.18; glitch:0.10; contemporary folk:0.04; hypnagogic pop:0.04; indietronica:0.03
synthwave,4,vaporwave:0.17; alternative dance:0.08; ethereal:0.06; disco:0.03; noise:0.03
uk garage,4,synthpop:0.20; alternative pop:0.13; breakbeat:0.09; art pop:0.02; leftfield:0.02
acid jazz,3,funktronica:0.20; trip hop:0.10; progressive rock:0.06; downtempo:0.04; jazz funk:0.03
alternative metal,3,stoner rock:0.50; progressive metal:0.25; metal:0.17; sludge metal:0.12; heavy metal:0.12
am pop,3,merseybeat:0.50; beat music:0.33; traditional pop:0.25; artist on cover:0.25; surf:0.14
aor,3,blues:0.06; soft rock:0.05; acoustic:0.05; downtempo:0.01; folk rock:0.01
baroque,3,classical crossover:0.29; contemporary classical:0.17; instrumental jazz:0.12; modern classical:0.06; classical:0.06
berlin-school,0,
blue-eyed soul,0,
bop,3,bebop:0.25; cool jazz:0.06; hard bop:0.03; jazz:0.01
british blues,3,arena rock:0.60; album rock:0.29; british folk rock:0.25; heavy metal:0.20; blues rock:0.19
britpop,3,beat music:0.33; merseybeat:0.20; folk pop:0.11; rock and roll:0.07; jangle pop:0.05
